"nome_officina","numero_intervento","codice_pezzo"
"Officina Cervignano del Friuli","XWJ3851","PR019"
"Officina Cervignano del Friuli","IBK9025","PR044"
"Officina San Giorgio di Nogaro","EYB5595","PR004"
"Officina San Giorgio di Nogaro","BJH8355","PR013"
"Officina Azzano Decimo","TEF0602","PR015"
"Officina Sacile","UNW1719","PR025"
"Officina Cervignano del Friuli","KOY2680","PR023"
"Officina Spilimbergo","GJV1058","PR045"
"Officina Spilimbergo","ZPD7796","PR020"
"Officina Gorizia","BMM5296","PR025"
"Officina Fagagna","NFF4967","PR024"
"Officina Gorizia","GQF5154","PR002"
"Officina Codroipo","QFD1332","PR031"
"Officina Spilimbergo","XNA6099","PR005"
"Officina Tarvisio","SIK0360","PR007"
"Officina Maniago","MEI3649","PR042"
"Officina Aquileia","HXU5140","PR043"
"Officina Monfalcone","WRI8649","PR042"
"Officina Latisana","SDU4695","PR006"
"Officina Fagagna","XIU7326","PR029"
"Officina Spilimbergo","YIO1560","PR003"
"Officina Palmanova","JZC2190","PR009"
"Officina Tavagnacco","TSO4937","PR017"
"Officina Gorizia","WUG6668","PR040"
"Officina Maniago","RZG1406","PR034"
"Officina Adegliaco","HPI7487","PR001"
"Officina Monfalcone","VKU1168","PR033"
"Officina Pordenone","AEG1921","PR028"
"Officina Cervignano del Friuli","CLB8068","PR018"
"Officina Tavagnacco","WXR2203","PR041"
"Officina Pasian di Prato","ZJA6697","PR031"
"Officina Azzano Decimo","QEX4510","PR007"
"Officina Pasian di Prato","SVK5027","PR024"
"Officina Tricesimo","UXO8504","PR021"
"Officina Fagagna","FGK0380","PR031"
"Officina Monfalcone","JCX7455","PR034"
"Officina Codroipo","KFG7975","PR013"
"Officina Spilimbergo","KIF6723","PR023"
"Officina Pasian di Prato","MBB1229","PR021"
"Officina Tarvisio","ADK6470","PR025"
"Officina Palmanova","SEL4205","PR033"
"Officina Sacile","IKH2888","PR037"
"Officina Buttrio","BGS5399","PR032"
"Officina Gemona","KCC9625","PR022"
"Officina Azzano Decimo","ZJS6365","PR009"
"Officina Spilimbergo","XPW5519","PR040"
"Officina Gorizia","FHE9968","PR020"
"Officina Spilimbergo","GYT5887","PR004"
"Officina Pordenone","FBD2011","PR005"
"Officina Tolmezzo","IOF8877","PR029"
"Officina Latisana","YPJ0285","PR013"
"Officina Pasian di Prato","ETL4740","PR029"
"Officina Cividale del Friuli","CCP9847","PR042"
"Officina Buttrio","FJD1086","PR039"
"Officina Lignano Sabbiadoro","QFC0963","PR020"
"Officina Adegliaco","TMZ5147","PR043"
"Officina Latisana","LFO6474","PR036"
"Officina Tolmezzo","VKJ3408","PR047"
"Officina Codroipo","XCE9060","PR027"
"Officina Adegliaco","KUR9142","PR013"
"Officina Buttrio","NYK6546","PR046"
"Officina Tarvisio","OKP1233","PR007"
"Officina Spilimbergo","DSJ8200","PR006"
"Officina Adegliaco","YNO7174","PR020"
"Officina Trieste","DQG2962","PR012"
"Officina Spilimbergo","SCH4234","PR008"
"Officina Gemona","MWA0571","PR049"
"Officina Adegliaco","XHA0862","PR015"
"Officina Gorizia","RCM5080","PR017"
"Officina Trieste","XDV9634","PR025"
"Officina Udine","SYY8929","PR049"
"Officina Azzano Decimo","LWY1935","PR001"
"Officina Lignano Sabbiadoro","KHI9914","PR008"
"Officina Sacile","NUK8246","PR017"
"Officina Monfalcone","IFE8885","PR034"
"Officina Gorizia","MRD2203","PR044"
"Officina Pasian di Prato","LXG1129","PR028"
"Officina San Vito al Tagliamento","CAS1438","PR019"
"Officina Aquileia","ZHN7331","PR046"
"Officina Tolmezzo","SDG5710","PR012"
"Officina Trieste","SDT9156","PR023"
"Officina Latisana","SBO1088","PR006"
"Officina Cividale del Friuli","AEV7326","PR037"
"Officina Codroipo","WPO9844","PR014"
"Officina San Vito al Tagliamento","XRH9353","PR002"
"Officina San Giorgio di Nogaro","DHF3593","PR034"
"Officina Codroipo","BIG3639","PR024"
"Officina Spilimbergo","NCM7568","PR014"
"Officina Palmanova","SLE1882","PR033"
"Officina Cervignano del Friuli","MKX6605","PR016"
"Officina Sacile","ZER8745","PR034"
"Officina Udine","FTQ9528","PR005"
"Officina Buttrio","ZVD0202","PR020"
"Officina Tolmezzo","FNP3840","PR045"
"Officina San Vito al Tagliamento","LDB6865","PR029"
"Officina Pasian di Prato","AGP3297","PR012"
"Officina Palmanova","XIM0511","PR013"
"Officina Tarvisio","KAZ6191","PR035"
"Officina San Giorgio di Nogaro","OEJ6791","PR031"
"Officina Maniago","UMK0203","PR024"
"Officina Udine","IAW8949","PR017"
"Officina Pasian di Prato","QBP8460","PR023"
"Officina Tavagnacco","YII4603","PR001"
"Officina Palmanova","THX1736","PR045"
"Officina Tricesimo","MGX2652","PR048"
"Officina Gorizia","AZS0360","PR010"
"Officina Monfalcone","VDK8113","PR003"
"Officina Tavagnacco","EMS8023","PR025"
"Officina Udine","IGQ2964","PR045"
"Officina Udine","GNH6521","PR005"
"Officina Tarvisio","PLR7964","PR016"
"Officina Aquileia","RDA8716","PR019"
"Officina Pordenone","YRR3225","PR043"
"Officina Sacile","HSC0077","PR009"
"Officina Cervignano del Friuli","WCS4128","PR049"
"Officina Tricesimo","TGS4286","PR048"
"Officina Trieste","UOE6550","PR047"
"Officina Codroipo","QLR4261","PR032"
"Officina Gemona","RRZ9401","PR020"
"Officina Monfalcone","JRA0801","PR023"
"Officina Lignano Sabbiadoro","INC1432","PR032"
"Officina Buttrio","OEL7688","PR044"
"Officina Pordenone","EXT8746","PR018"
"Officina Azzano Decimo","WJF2415","PR029"
"Officina San Daniele del Friuli","CMZ7168","PR020"
"Officina Aquileia","GNS1256","PR006"
"Officina Cividale del Friuli","NKO1606","PR019"
"Officina Aquileia","QOI6409","PR006"
"Officina Adegliaco","IVD6288","PR015"
"Officina San Daniele del Friuli","UHQ2356","PR007"
"Officina Cividale del Friuli","FSP0509","PR017"
"Officina Pasian di Prato","JVO7642","PR039"
"Officina Pordenone","BFW8026","PR043"
"Officina Trieste","QHA4895","PR043"
"Officina Azzano Decimo","MSL0238","PR009"
"Officina Pasian di Prato","YHJ2656","PR011"
"Officina Maniago","XUK4780","PR021"
"Officina Gorizia","OEZ1857","PR003"
"Officina Lignano Sabbiadoro","YLW9534","PR002"
"Officina Sacile","XEZ4041","PR047"
"Officina Tarvisio","CUM5195","PR002"
"Officina Maniago","WIH8231","PR016"
"Officina Buttrio","JZG6582","PR008"
"Officina Cervignano del Friuli","YWO3760","PR023"
"Officina Spilimbergo","VCR2136","PR027"
"Officina Maniago","XWT0570","PR039"
"Officina Cervignano del Friuli","WWF5730","PR022"
"Officina San Vito al Tagliamento","MDG8113","PR036"
"Officina Trieste","ECQ2498","PR021"
"Officina Lignano Sabbiadoro","WUB7014","PR005"
"Officina Tavagnacco","VZX4242","PR023"
"Officina Azzano Decimo","HBK6423","PR022"
"Officina Monfalcone","GKQ0675","PR023"
"Officina Tavagnacco","CLC5466","PR025"
"Officina Cividale del Friuli","CCU2151","PR050"
"Officina Cervignano del Friuli","QSY0709","PR048"
"Officina Latisana","KQQ8797","PR046"
"Officina Aquileia","IHW9224","PR020"
"Officina Cividale del Friuli","CGM3956","PR045"
"Officina Tolmezzo","UNQ3933","PR027"
"Officina Palmanova","ZNA5656","PR018"
"Officina San Vito al Tagliamento","NPA2633","PR005"
"Officina Fagagna","IVQ8460","PR031"
"Officina San Vito al Tagliamento","QKE6117","PR025"
"Officina Cervignano del Friuli","PVL6879","PR016"
"Officina Tricesimo","OEX6460","PR004"
"Officina Aquileia","ELP7190","PR007"
"Officina Gorizia","QHV9372","PR044"
"Officina Spilimbergo","TUA5437","PR035"
"Officina Tolmezzo","OML2179","PR009"
"Officina Aquileia","PZG9092","PR039"
"Officina San Giorgio di Nogaro","FNG8430","PR020"
"Officina Udine","DBX4862","PR041"
"Officina San Giorgio di Nogaro","ZRS2999","PR027"
"Officina Buttrio","CKT8445","PR044"
"Officina Tolmezzo","PGV2784","PR034"
"Officina Tarvisio","DXN4473","PR035"
"Officina Cividale del Friuli","AYH3967","PR034"
"Officina San Vito al Tagliamento","ZLC1781","PR034"
"Officina Cividale del Friuli","BXF6968","PR036"
"Officina Tavagnacco","BGK9687","PR027"
"Officina Palmanova","IZW4299","PR005"
"Officina Pasian di Prato","IVO1821","PR010"
"Officina San Giorgio di Nogaro","MRA0910","PR009"
"Officina San Daniele del Friuli","NEC2677","PR005"
"Officina Spilimbergo","QQS1632","PR004"
"Officina Pordenone","JXV5340","PR041"
"Officina Fagagna","SWR1808","PR015"
"Officina Palmanova","FXH4679","PR037"
"Officina Cervignano del Friuli","WBW5333","PR047"
"Officina Cervignano del Friuli","KYS9202","PR006"
"Officina Gemona","ZJY7182","PR003"
"Officina Tricesimo","CZY9336","PR007"
"Officina Adegliaco","EOQ0458","PR031"
"Officina Tarvisio","MEM6743","PR009"
"Officina Monfalcone","FYT0687","PR041"
"Officina Aquileia","JWT0671","PR023"
"Officina Trieste","GOH9830","PR026"
"Officina Tavagnacco","ZTA5914","PR050"
"Officina Cervignano del Friuli","JNN0319","PR008"
"Officina Cervignano del Friuli","HKV0516","PR026"
"Officina Spilimbergo","ORF0580","PR030"
"Officina Monfalcone","JLD5465","PR015"
"Officina Pordenone","DSM7991","PR024"
"Officina Adegliaco","MMW1422","PR020"
"Officina Azzano Decimo","POL8631","PR011"
"Officina Pordenone","XQW7957","PR041"
"Officina Gorizia","WMY2803","PR005"
"Officina Azzano Decimo","MLA8812","PR025"
"Officina Trieste","NUZ0551","PR035"
"Officina Fagagna","XKL4580","PR010"
"Officina Tolmezzo","WYU4841","PR007"
"Officina San Vito al Tagliamento","JQO0665","PR029"
"Officina Lignano Sabbiadoro","ZOS4162","PR030"
"Officina Azzano Decimo","AKR6030","PR031"
"Officina Gorizia","UPD2503","PR031"
"Officina Codroipo","RWY7385","PR029"
"Officina Latisana","MCW5061","PR013"
"Officina San Vito al Tagliamento","RCH8843","PR033"
"Officina Maniago","QHJ9072","PR009"
"Officina Cividale del Friuli","KVX2494","PR032"
"Officina Tricesimo","DUU0912","PR035"
"Officina Tavagnacco","DZN0266","PR006"
"Officina Monfalcone","LCM3160","PR023"
"Officina Buttrio","ATU9926","PR048"
"Officina Tolmezzo","EBN9157","PR034"
"Officina Trieste","PXO5826","PR019"
"Officina Maniago","OLO4234","PR007"
"Officina Gemona","EKX0136","PR018"
"Officina Tricesimo","VMN5937","PR047"
"Officina San Daniele del Friuli","UPI2224","PR015"
"Officina Trieste","HMV1543","PR018"
"Officina Codroipo","OTJ8156","PR040"
"Officina Tavagnacco","KJZ5587","PR005"
"Officina Tarvisio","TAA1478","PR050"
"Officina Buttrio","UJZ1450","PR028"
"Officina Udine","COS6008","PR001"
"Officina Buttrio","QML7677","PR014"
"Officina Tavagnacco","UUB7461","PR024"
"Officina Gorizia","DQG6945","PR044"
"Officina Azzano Decimo","VXT3838","PR012"
"Officina Adegliaco","ECD6742","PR001"
"Officina Latisana","JSK5646","PR043"
"Officina Pasian di Prato","TBU0619","PR007"
"Officina Aquileia","GRG2673","PR007"
"Officina Latisana","IJT9754","PR013"
"Officina Tavagnacco","UZH9418","PR009"
"Officina Gorizia","VRM5937","PR045"
"Officina San Vito al Tagliamento","CFB1910","PR018"
"Officina Palmanova","AUO6414","PR033"
"Officina Maniago","PKY3688","PR022"
"Officina Tavagnacco","FQM8197","PR017"
"Officina Azzano Decimo","FCB1218","PR011"
"Officina Adegliaco","ZXT4665","PR015"
"Officina Tavagnacco","OUS0536","PR033"
"Officina Tarvisio","OYE2680","PR048"
"Officina Maniago","JDH6138","PR020"
"Officina Tarvisio","PRP9374","PR008"
"Officina Adegliaco","BYS4924","PR041"
"Officina San Daniele del Friuli","VLA8049","PR025"
"Officina Tolmezzo","BRP9236","PR020"
"Officina Trieste","BMT5549","PR050"
"Officina Gemona","OQD5247","PR018"
"Officina Pasian di Prato","YHR8109","PR035"
"Officina Cividale del Friuli","AME4085","PR015"
"Officina Monfalcone","RLG2859","PR041"
"Officina Gemona","JCC8022","PR007"
"Officina San Vito al Tagliamento","XRP1235","PR034"
"Officina San Giorgio di Nogaro","XDY1645","PR029"
"Officina Tolmezzo","KYX5168","PR038"
"Officina Gorizia","CJS3383","PR041"
"Officina Latisana","JXE3670","PR050"
"Officina Tarvisio","BBG6046","PR044"
"Officina Trieste","SZE0932","PR044"
"Officina Aquileia","EKK7480","PR035"
"Officina Latisana","VGH4703","PR014"
"Officina Codroipo","QJY7883","PR003"
"Officina San Daniele del Friuli","BXZ0987","PR014"
"Officina Lignano Sabbiadoro","LVQ9546","PR041"
"Officina San Daniele del Friuli","UCR4547","PR044"
"Officina Spilimbergo","PZI7171","PR031"
"Officina Palmanova","QRF2612","PR009"
"Officina Monfalcone","DTU3554","PR014"
"Officina Latisana","EJT4236","PR009"
"Officina Sacile","KXM4459","PR035"
"Officina San Giorgio di Nogaro","XFT5946","PR025"
"Officina Sacile","HDT9876","PR021"
"Officina Gorizia","HRS1429","PR047"
"Officina Palmanova","TOC0258","PR018"
"Officina San Daniele del Friuli","YWU5542","PR048"
"Officina Azzano Decimo","PGG2503","PR045"
"Officina San Daniele del Friuli","OZN9848","PR002"
"Officina Spilimbergo","GIF9298","PR012"
"Officina Tavagnacco","OLA3408","PR023"
"Officina Azzano Decimo","FQJ5828","PR050"
"Officina Azzano Decimo","UXB4568","PR030"
"Officina Sacile","TXT7366","PR002"
"Officina Pasian di Prato","LMC0176","PR015"
"Officina Cividale del Friuli","WNK3447","PR024"
"Officina Buttrio","KDU3591","PR048"
"Officina Tricesimo","VIE8835","PR014"
"Officina Gemona","RZG4047","PR014"
"Officina Pasian di Prato","OCE7331","PR015"
"Officina San Vito al Tagliamento","QAV6436","PR030"
"Officina San Daniele del Friuli","PER2659","PR003"
"Officina Cividale del Friuli","ZVB5388","PR003"
"Officina Maniago","VUY0891","PR029"
"Officina Tolmezzo","NFC0023","PR029"
"Officina Lignano Sabbiadoro","GDM0805","PR021"
"Officina Tricesimo","EYD7985","PR047"
"Officina Latisana","NVL9317","PR005"
"Officina Latisana","XYU5048","PR037"
"Officina Lignano Sabbiadoro","VPM0674","PR034"
"Officina Sacile","QOH6609","PR025"
"Officina Lignano Sabbiadoro","VOL0143","PR004"
"Officina Udine","YLD8229","PR011"
"Officina Cervignano del Friuli","GIQ3640","PR002"
"Officina Buttrio","CVQ5533","PR019"
"Officina Cervignano del Friuli","LDU5920","PR012"
"Officina San Giorgio di Nogaro","CCE3121","PR002"
"Officina San Vito al Tagliamento","TWX9927","PR030"
"Officina Spilimbergo","HWZ0570","PR020"
"Officina San Giorgio di Nogaro","WUM1416","PR007"
"Officina Udine","DLX2179","PR021"
"Officina Spilimbergo","GTV2509","PR033"
"Officina San Vito al Tagliamento","WRB0463","PR004"
"Officina San Vito al Tagliamento","UPP6397","PR022"
"Officina Tricesimo","WAC1888","PR011"
"Officina San Daniele del Friuli","THA4188","PR049"
"Officina Pasian di Prato","MLB7312","PR017"
"Officina Cervignano del Friuli","YWU2992","PR007"
"Officina Gorizia","JBB3638","PR024"
"Officina Gorizia","CNB7027","PR004"
"Officina Cividale del Friuli","KZF1917","PR014"
"Officina Fagagna","QDU8389","PR002"
"Officina San Giorgio di Nogaro","EMA2901","PR002"
"Officina Tarvisio","NHM4053","PR016"
"Officina Tricesimo","IIB3896","PR025"
"Officina Buttrio","JBI7910","PR048"
"Officina Tolmezzo","FVU4869","PR050"
"Officina Cividale del Friuli","FOO2020","PR021"
"Officina Buttrio","THN9638","PR014"
"Officina Gorizia","EVS2369","PR016"
"Officina Latisana","BYI3824","PR030"
"Officina Cervignano del Friuli","NIJ5102","PR019"
"Officina Codroipo","WHD6573","PR001"
"Officina Gemona","UIJ8174","PR023"
"Officina Pasian di Prato","INS1609","PR041"
"Officina Azzano Decimo","QHO3159","PR032"
"Officina Adegliaco","NKI5496","PR017"
"Officina Trieste","IEH6170","PR034"
"Officina Udine","MNM8201","PR026"
"Officina Palmanova","OPT3193","PR037"
"Officina Sacile","VVA5252","PR009"
"Officina Latisana","TXI6936","PR021"
"Officina Pasian di Prato","FMP5965","PR048"
"Officina Pordenone","ATK1314","PR034"
"Officina Lignano Sabbiadoro","UAQ9916","PR011"
"Officina Azzano Decimo","HYP0573","PR041"
"Officina Buttrio","JFP9013","PR047"
"Officina Cervignano del Friuli","CWH8548","PR042"
"Officina Udine","MAA7705","PR007"
"Officina Lignano Sabbiadoro","MJU4702","PR032"
"Officina Codroipo","KLL0013","PR020"
"Officina Tolmezzo","GAC5960","PR020"
